State1,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021,2022Q1,2022Q2,2022Q3,2022,2023Q1,2023Q2,2023Q3,2022(duplicate),2023,2024Q1,2024Q2,2024Q3,2021Q4,2022Q4,2023Q4
United States1 ,4351576.5,4374944.5,4479912.75,4416845.0,4470359.75,4506166.25,4526278.25,4627874.75,4553110.0,4606297.5,4654005.0,4698089.0,4871348.5,4790637.5,4839780.75,4897018.5,4957957.25,5040789.75,5127544.25,5187438.0,5224451.0,5278827.25,5332469.25,5385081.25,5436848.5,5370341.75,4869361.0,5284643.5,5369399.25,5509556.5,5685239.75,5800586.0,5828770.25,6185120.0,6312119.0,6430985.25,6436027.0,6703400.25,6765753.0,6902532.0,6501723.25,6930177.25,7156017.25,7254178.5,7343728.5,6319698.75,6815883.75,7349023.75
New England ,230235.5,232825.75,238781.75,234686.5,238172.75,239385.0,242882.5,247704.25,244884.75,246947.0,249654.0,249331.25,260673.0,256634.780449475,259436.26289829,262761.32693831,263859.8057123125,267715.75,271236.75,274043.5,275382.75,280797.75,282740.75,285233.0,286892.0,285634.25,258613.75,279896.25,285639.5,289777.75,299632.0,304885.0,305259.75,321519.5,323930.75,330297.25,328808.25,341723.5,345571.0,352436.0,331040.25,352671.75,366795.75,371235.5,376008.0,326744.25,339485.5,370956.5
Connecticut ,63066.5,63308.75,63232.5,62349.25,63185.25,63416.5,63978.5,64979.5,64722.25,65001.5,65124.25,65070.5,66127.5,65358.94671010175,66001.82193238275,66565.58196837525,66583.54923393675,68213.5,68471.0,69573.75,69468.5,71361.5,71661.5,72123.25,72675.75,71571.75,64453.0,69717.5,70680.5,71278.0,73398.75,74653.0,74598.75,79333.25,79476.75,80956.25,79836.25,83377.0,84115.5,85796.5,80421.5,86478.0,89648.5,90854.25,92080.25,79065.25,79578.75,92623.0
Maine ,13648.0,13875.75,14324.25,13951.5,14288.0,14434.5,14622.5,14823.75,14650.5,14833.75,14877.5,14933.0,15425.75,15234.695969257826,15303.2342475262,15527.91082735785,15636.967921577276,15924.5,16186.5,16358.5,16386.25,16665.5,16763.25,17042.0,17246.25,17524.75,16176.0,17564.0,18006.75,18293.5,18803.5,19166.0,19490.75,20588.0,20878.5,21296.75,21450.25,22327.5,22512.75,22954.5,21623.25,23317.5,24215.0,24468.0,24809.5,21700.0,23037.75,25475.25
Massachusetts ,114733.5,116307.75,121235.75,119185.5,120966.5,121203.0,123588.0,126444.0,124500.25,125708.5,127759.0,127807.75,135744.75,133285.382494016,134984.64047245876,136877.154869844,137831.5794854705,139618.0,142055.0,143376.5,144438.5,147077.0,148577.5,150136.25,150802.5,150109.0,136035.0,146505.0,149827.75,152675.0,157392.5,160509.5,160333.0,168494.0,169780.5,173282.75,172865.25,179249.25,181666.25,185335.75,173903.0,184074.0,191839.75,194036.75,196285.25,170755.0,179903.75,190044.75
New Hampshire ,17695.75,17945.75,18466.75,17986.0,18329.5,18647.5,18904.5,19302.0,19181.5,19323.5,19494.75,19208.0,20412.5,20118.601099480824,20217.63806729595,20694.8767718761,20618.6268769123,20844.75,21067.25,21283.25,21268.75,21834.5,21835.75,21960.0,22003.75,22312.75,20187.5,22222.5,22898.25,23188.25,24686.5,24757.5,24918.25,25808.75,26043.0,26512.25,26256.25,27198.25,27490.5,28016.25,26622.0,28525.25,29690.0,30040.75,30521.5,27040.75,26661.0,31396.0
Rhode Island ,13696.5,13896.25,14013.0,13789.0,13950.25,14093.5,14219.25,14382.25,14110.0,14342.0,14587.0,14490.25,14826.5,14574.478972686975,14825.669293721225,14930.669855557775,14974.9223753971,14933.5,15147.75,15103.25,15403.0,15406.75,15451.25,15442.25,15583.75,15444.0,14072.25,15413.25,15627.0,15585.0,16425.0,16723.5,16642.75,17410.75,17689.75,18013.75,18192.75,18945.75,19129.5,19487.0,18217.25,19393.5,20209.75,20477.75,20782.0,17837.5,19656.75,20011.75
Vermont ,7395.25,7491.5,7509.5,7425.25,7453.25,7590.0,7569.75,7772.75,7720.0,7737.75,7811.75,7821.75,8136.25,8062.6752039318,8103.25888490415,8165.132645298825,8214.15981901885,8181.5,8309.0,8348.25,8417.5,8452.5,8451.5,8529.25,8580.0,8672.0,7689.5,8474.25,8599.25,8758.0,8925.75,9075.5,9276.0,9884.75,10062.25,10235.75,10207.75,10625.75,10656.75,10846.0,10253.0,10883.5,11192.75,11358.0,11529.75,10344.75,10648.25,11405.5
Mideast ,790502.25,795930.5,816814.25,804149.25,816360.75,823232.5,823514.25,843896.75,833043.0,841997.75,846404.75,854141.5,893176.5,879652.4018087875,886672.413978785,898811.2822377775,907570.3261908476,909530.5,923468.75,932890.5,934873.25,952328.75,963294.5,970093.5,977284.5,971198.25,875047.75,944312.25,955694.0,976054.0,998694.25,1016200.5,1026874.75,1084248.0,1100256.75,1120259.5,1112636.5,1152628.25,1163242.75,1184161.25,1118505.75,1186303.25,1223969.75,1242396.5,1258202.5,1116550.25,1145781.75,1245180.75
Delaware ,16159.25,16040.5,17181.0,16981.5,17187.75,17260.75,17294.0,17863.25,17332.75,17702.0,18104.25,18314.0,18115.25,18033.4269591,17874.276267526,18318.67844740535,18234.93272265295,18022.75,18256.25,18615.25,18587.0,19062.5,19231.25,19319.0,19469.75,19268.5,17954.5,19203.75,19359.75,19348.0,19932.0,20386.5,20290.0,21290.75,21668.25,22036.75,22552.0,23074.75,23137.75,23529.0,23139.5,24517.25,25229.5,25600.25,25999.0,21493.5,25212.25,28327.5
